,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2025-01-03,232.4811962,223.3687578420568,243.7665914306829,232.4811962,232.4811962,1.3461356381724525,1.3461356381724525,1.3461356381724525,1.3461356381724525,1.3461356381724525,1.3461356381724525,0.0,0.0,0.0,233.82733183817246
1,2025-01-06,231.71943895142857,223.8191776349856,243.21848624758013,231.71943895142857,231.71943895142857,1.7945508837274469,1.7945508837274469,1.7945508837274469,1.7945508837274469,1.7945508837274469,1.7945508837274469,0.0,0.0,0.0,233.51398983515602
2,2025-01-07,231.46551986857145,223.08834070639696,242.59910991609954,231.46551986857145,231.46551986857145,1.8841798783457746,1.8841798783457746,1.8841798783457746,1.8841798783457746,1.8841798783457746,1.8841798783457746,0.0,0.0,0.0,233.34969974691722
3,2025-01-08,231.2116007857143,223.976541191202,243.34631880067334,231.2116007857143,231.2116007857143,2.149367887238021,2.149367887238021,2.149367887238021,2.149367887238021,2.149367887238021,2.149367887238021,0.0,0.0,0.0,233.3609686729523
4,2025-01-10,230.70376262000002,221.3168415108181,242.79698838165325,230.70376262000002,230.70376262000002,1.346135638172833,1.346135638172833,1.346135638172833,1.346135638172833,1.346135638172833,1.346135638172833,0.0,0.0,0.0,232.04989825817285
5,2025-01-13,229.94200537142856,221.82372614740072,240.90610648685677,229.94200537142856,229.94200537142856,1.7945508837276698,1.7945508837276698,1.7945508837276698,1.7945508837276698,1.7945508837276698,1.7945508837276698,0.0,0.0,0.0,231.73655625515624
6,2025-01-14,229.68808628857144,221.78925081244196,241.79534150282103,229.68808628857144,229.68808628857144,1.8841798783462547,1.8841798783462547,1.8841798783462547,1.8841798783462547,1.8841798783462547,1.8841798783462547,0.0,0.0,0.0,231.5722661669177
7,2025-01-15,229.4341672057143,222.221988479984,241.08788196215238,229.4341672057143,229.4341672057143,2.1493678872378386,2.1493678872378386,2.1493678872378386,2.1493678872378386,2.1493678872378386,2.1493678872378386,0.0,0.0,0.0,231.58353509295213
8,2025-01-16,229.18024812285714,220.38319741899733,241.30082118377987,229.18024812285714,229.18024812285714,1.8616162411970176,1.8616162411970176,1.8616162411970176,1.8616162411970176,1.8616162411970176,1.8616162411970176,0.0,0.0,0.0,231.04186436405416
9,2025-01-17,228.92632904320195,220.8640097265297,240.7230847843305,228.92632904320195,228.92632904320195,1.3461356381634122,1.3461356381634122,1.3461356381634122,1.3461356381634122,1.3461356381634122,1.3461356381634122,0.0,0.0,0.0,230.27246468136536
10,2025-01-21,227.91065272458104,220.39457120425342,239.41318777399024,227.91065272458104,227.91065272458104,1.8841798783467338,1.8841798783467338,1.8841798783467338,1.8841798783467338,1.8841798783467338,1.8841798783467338,0.0,0.0,0.0,229.79483260292778
11,2025-01-22,227.6567336449258,219.96330379259658,239.637829867472,227.6567336449258,227.6567336449258,2.149367887238365,2.149367887238365,2.149367887238365,2.149367887238365,2.149367887238365,2.149367887238365,0.0,0.0,0.0,229.80610153216415
12,2025-01-23,227.40281456527057,219.46967688369466,239.02125796057098,227.40281456527057,227.40281456527057,1.8616162411985286,1.8616162411985286,1.8616162411985286,1.8616162411985286,1.8616162411985286,1.8616162411985286,0.0,0.0,0.0,229.2644308064691
13,2025-01-24,227.14889548561533,219.02647655521253,238.39974295778416,227.14889548561533,227.14889548561533,1.346135638163792,1.346135638163792,1.346135638163792,1.346135638163792,1.346135638163792,1.346135638163792,0.0,0.0,0.0,228.4950311237791
14,2025-01-27,226.38713824664967,218.66716697524762,238.12990904053666,226.38713824664967,226.38713824664967,1.7945508837138173,1.7945508837138173,1.7945508837138173,1.7945508837138173,1.7945508837138173,1.7945508837138173,0.0,0.0,0.0,228.18168913036348
15,2025-01-28,226.13321916699445,218.84230070382108,238.21850222211995,226.13321916699445,226.13321916699445,1.884179878343541,1.884179878343541,1.884179878343541,1.884179878343541,1.884179878343541,1.884179878343541,0.0,0.0,0.0,228.01739904533798
16,2025-01-29,225.87930008733923,218.36005054839873,237.86263800535713,225.87930008733923,225.87930008733923,2.1493678872374744,2.1493678872374744,2.1493678872374744,2.1493678872374744,2.1493678872374744,2.1493678872374744,0.0,0.0,0.0,228.0286679745767
17,2025-01-30,225.42381370433236,217.02288250159316,236.94402364362284,225.42381370433236,225.42381370433236,1.8616162412000394,1.8616162412000394,1.8616162412000394,1.8616162412000394,1.8616162412000394,1.8616162412000394,0.0,0.0,0.0,227.2854299455324
18,2025-01-31,224.9683273213255,216.3990487227565,236.19351905424833,224.9683273213255,224.9683273213255,1.3461356381780234,1.3461356381780234,1.3461356381780234,1.3461356381780234,1.3461356381780234,1.3461356381780234,0.0,0.0,0.0,226.31446295950352
19,2025-02-03,223.60186817230488,215.03800598120355,235.7727526548088,223.60186817230488,223.60186817230488,1.7945508837180573,1.7945508837180573,1.7945508837180573,1.7945508837180573,1.7945508837180573,1.7945508837180573,0.0,0.0,0.0,225.39641905602292
20,2025-02-04,223.146381789298,215.3487469151185,235.18784821259456,223.146381789298,223.146381789298,1.8841798783491894,1.8841798783491894,1.8841798783491894,1.8841798783491894,1.8841798783491894,1.8841798783491894,0.0,0.0,0.0,225.0305616676472
21,2025-02-05,222.6908954062911,214.46929850595728,234.26018121158745,222.6908954062911,222.6908954062911,2.1493678872381152,2.1493678872381152,2.1493678872381152,2.1493678872381152,2.1493678872381152,2.1493678872381152,0.0,0.0,0.0,224.84026329352923
