,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
39,2025-03-04,297.9811866572258,266.02568480396997,336.3619332127372,297.9811866572258,297.9811866572258,2.3375104796109687,2.3375104796109687,2.3375104796109687,2.3375104796109687,2.3375104796109687,2.3375104796109687,0.0,0.0,0.0,300.31869713683676
40,2025-03-05,295.8952695883335,264.8673700229476,336.50073460257215,295.8952695883335,295.8952695883335,5.016071851699622,5.016071851699622,5.016071851699622,5.016071851699622,5.016071851699622,5.016071851699622,0.0,0.0,0.0,300.91134144003314
41,2025-03-06,294.08492424754945,261.6233372366655,329.02421332881863,294.08492424754945,294.08492424754945,1.3505874261412025,1.3505874261412025,1.3505874261412025,1.3505874261412025,1.3505874261412025,1.3505874261412025,0.0,0.0,0.0,295.43551167369066
42,2025-03-07,292.27457890676544,261.6539611397212,327.70826383519244,292.27457890676544,292.27457890676544,2.569584358422602,2.569584358422602,2.569584358422602,2.569584358422602,2.569584358422602,2.569584358422602,0.0,0.0,0.0,294.84416326518806
43,2025-03-10,286.8435428844134,256.0210506401761,324.65486201547924,286.8435428844134,286.8435428844134,3.0505420815995867,3.0505420815995867,3.0505420815995867,3.0505420815995867,3.0505420815995867,3.0505420815995867,0.0,0.0,0.0,289.894084966013
44,2025-03-11,285.0331975436294,252.66359085912563,322.91820196274114,285.0331975436294,285.0331975436294,2.3375104796083352,2.3375104796083352,2.3375104796083352,2.3375104796083352,2.3375104796083352,2.3375104796083352,0.0,0.0,0.0,287.37070802323774
45,2025-03-12,283.22285220284533,252.59176791489384,325.5827221478448,283.22285220284533,283.22285220284533,5.016071851699022,5.016071851699022,5.016071851699022,5.016071851699022,5.016071851699022,5.016071851699022,0.0,0.0,0.0,288.2389240545443
46,2025-03-13,281.4125068620613,247.11868649585432,315.66662256157707,281.4125068620613,281.4125068620613,1.3505874261361606,1.3505874261361606,1.3505874261361606,1.3505874261361606,1.3505874261361606,1.3505874261361606,0.0,0.0,0.0,282.76309428819746
47,2025-03-14,279.6021615212773,246.53176772742972,315.9575979727422,279.6021615212773,279.6021615212773,2.5695843584147284,2.5695843584147284,2.5695843584147284,2.5695843584147284,2.5695843584147284,2.5695843584147284,0.0,0.0,0.0,282.171745879692
48,2025-03-17,274.1711254989253,241.70503442713724,314.2686120097421,274.1711254989253,274.1711254989253,3.0505420816218036,3.0505420816218036,3.0505420816218036,3.0505420816218036,3.0505420816218036,3.0505420816218036,0.0,0.0,0.0,277.2216675805471
49,2025-03-18,273.2297064721659,240.8148534954013,310.4506382243054,273.2297064721659,273.2297064721659,2.337510479613363,2.337510479613363,2.337510479613363,2.337510479613363,2.337510479613363,2.337510479613363,0.0,0.0,0.0,275.56721695177924
50,2025-03-19,272.2882874454065,242.36237577295725,312.4091465902996,272.2882874454065,272.2882874454065,5.016071851698527,5.016071851698527,5.016071851698527,5.016071851698527,5.016071851698527,5.016071851698527,0.0,0.0,0.0,277.30435929710507
51,2025-03-20,271.3468684186471,237.88626796839787,307.7448713863785,271.3468684186471,271.3468684186471,1.3505874261420612,1.3505874261420612,1.3505874261420612,1.3505874261420612,1.3505874261420612,1.3505874261420612,0.0,0.0,0.0,272.69745584478915
52,2025-03-21,270.4054493918877,237.02191632558512,310.40730892987705,270.4054493918877,270.4054493918877,2.569584358420414,2.569584358420414,2.569584358420414,2.569584358420414,2.569584358420414,2.569584358420414,0.0,0.0,0.0,272.9750337503081
53,2025-03-24,267.5811923116096,234.3041031382256,305.422362565044,267.5811923116096,267.5811923116096,3.050542081616629,3.050542081616629,3.050542081616629,3.050542081616629,3.050542081616629,3.050542081616629,0.0,0.0,0.0,270.6317343932262
